Time_in_hr,E2
0.168055556,0.305
0.342777778,0.307
0.5175,0.308
0.692222222,0.309
0.866944444,0.31
1.041666667,0.309
1.216388889,0.309
1.391111111,0.31
1.565833333,0.31
1.740555556,0.31
1.915277778,0.31
2.09,0.31
2.264722222,0.311
2.439444444,0.31
2.614166667,0.31
2.788888889,0.312
2.963611111,0.312
3.138333333,0.312
3.313055556,0.312
3.487777778,0.312
3.6625,0.312
3.837222222,0.312
4.011944444,0.313
4.186666667,0.313
4.361388889,0.314
4.536111111,0.314
4.710833333,0.314
4.885555556,0.315
5.060277778,0.316
5.235,0.317
5.409722222,0.318
5.584444444,0.319
5.759166667,0.321
5.933888889,0.321
6.108611111,0.322
6.283333333,0.324
6.458055556,0.325
6.632777778,0.326
6.8075,0.327
6.982222222,0.327
7.156944444,0.327
7.331666667,0.327
7.506388889,0.327
7.681111111,0.327
7.855833333,0.327
8.030555556,0.327
8.205277778,0.327
8.38,0.327
8.554722222,0.327
8.729444444,0.327
8.904166667,0.327
9.078888889,0.327
9.253611111,0.327
9.428333333,0.328
9.603055556,0.328
9.777777778,0.327
9.9525,0.327
10.12722222,0.327
10.30194444,0.328
10.47666667,0.328
10.65138889,0.328
10.82611111,0.328
11.00055556,0.328
11.17555556,0.328
11.35027778,0.327
11.525,0.327
11.69972222,0.328
11.87444444,0.327
12.04916667,0.328
12.22388889,0.327
12.39861111,0.328
12.57333333,0.327
12.74805556,0.328
12.92277778,0.328
13.0975,0.327
13.27222222,0.327
13.44694444,0.327
13.62166667,0.327
13.79638889,0.327
13.97111111,0.327
14.14583333,0.328
14.32055556,0.327
14.49527778,0.327
14.67,0.327
14.84472222,0.327
15.01944444,0.327
15.19416667,0.327
15.36888889,0.327
15.54361111,0.327
15.71833333,0.327
15.89305556,0.327
16.06777778,0.327
16.2425,0.327
16.41722222,0.328
16.59194444,0.328
16.76666667,0.327
16.94138889,0.327
17.11611111,0.327
17.29083333,0.327
17.46555556,0.327
17.64027778,0.327
17.815,0.327
17.98972222,0.328
18.16444444,0.328
18.33916667,0.328
18.51388889,0.328
18.68861111,0.327
18.86333333,0.328
19.03805556,0.328
19.21277778,0.328
19.3875,0.328
19.56222222,0.329
19.73694444,0.331
19.91166667,0.33
20.08638889,0.331
20.26111111,0.329
20.43583333,0.333
20.61055556,0.329
20.78527778,0.33
20.96,0.329
21.13472222,0.33
21.30944444,0.331
21.48416667,0.332
21.65888889,0.332
21.83361111,0.332
22.00833333,0.333
22.18305556,0.334
22.35777778,0.335
22.5325,0.336
22.70722222,0.336
22.88194444,0.338
23.05666667,0.34
23.23138889,0.341
23.40611111,0.343
23.58083333,0.347
23.75555556,0.35
23.93027778,0.353
24.105,0.357
24.27972222,0.362
24.45444444,0.375
24.62916667,0.377
24.80388889,0.385
24.97861111,0.401
25.15333333,0.408
25.32805556,0.421
25.50277778,0.424
25.6775,0.434
25.85222222,0.448
26.02694444,0.469
26.20166667,0.492
26.37638889,0.521
26.55111111,0.56
26.72583333,0.6
26.90055556,0.608
27.07527778,0.611
27.25,0.613
27.42472222,0.617
27.59944444,0.622
27.77416667,0.627
27.94888889,0.632
28.12361111,0.632
28.29833333,0.634
28.47305556,0.632
28.64777778,0.632
28.8225,0.635
28.99722222,0.631
29.17194444,0.632
29.34666667,0.632
29.52138889,0.631
29.69611111,0.631
29.87083333,0.63
30.04555556,0.629
30.22027778,0.629
30.395,0.629
30.56972222,0.628
30.74444444,0.628
30.91916667,0.628
31.09388889,0.626
31.26861111,0.626
31.44333333,0.627
31.61805556,0.627
31.79277778,0.626
31.9675,0.625
32.14222222,0.625
32.31694444,0.625
32.49166667,0.625
32.66638889,0.625
32.84111111,0.624
33.01583333,0.624
33.19055556,0.623
33.36527778,0.624
33.54,0.622
33.71472222,0.623
33.88944444,0.623
34.06416667,0.622
34.23888889,0.62
34.41361111,0.621
34.58833333,0.621
34.76305556,0.622
34.93777778,0.62
35.1125,0.62
35.28722222,0.619
35.46194444,0.62
35.63666667,0.618
35.81138889,0.618
35.98611111,0.618
36.16083333,0.618
36.33555556,0.618
36.51027778,0.617
36.685,0.616
36.85972222,0.616
37.03444444,0.616
37.20916667,0.618
37.38388889,0.618
37.55861111,0.616
37.73333333,0.616
37.90805556,0.615
38.08277778,0.616
38.2575,0.614
38.43222222,0.613
38.60694444,0.612
38.78166667,0.611
38.95638889,0.611
39.13111111,0.61
39.30583333,0.61
39.48055556,0.608
39.65527778,0.609
39.83,0.607
40.00472222,0.607
40.17944444,0.606
40.35416667,0.607
40.52888889,0.607
40.70361111,0.606
40.87833333,0.605
41.05305556,0.606
41.22777778,0.604
41.4025,0.603
41.57722222,0.604
41.75194444,0.603
41.92666667,0.602
42.10138889,0.602
42.27611111,0.601
42.45083333,0.601
42.62555556,0.601
42.80027778,0.6
42.975,0.599
43.14972222,0.599
43.32444444,0.599
43.49916667,0.598
43.67388889,0.598
43.84861111,0.598
44.02333333,0.598
44.19805556,0.598
44.37277778,0.596
44.5475,0.596
44.72222222,0.596
44.89694444,0.596
45.07166667,0.594
45.24638889,0.594
45.42111111,0.594
45.59583333,0.593
45.77055556,0.592
45.94527778,0.592
46.12,0.592
46.29472222,0.592
46.46944444,0.592
46.64416667,0.591
46.81888889,0.59
46.99361111,0.589
47.16833333,0.59
47.34305556,0.59
47.51777778,0.588
47.6925,0.588
47.86722222,0.589
48.04194444,0.588
48.21666667,0.588
48.39138889,0.588
48.56611111,0.586
48.74083333,0.587
48.91555556,0.587
49.09027778,0.586
49.265,0.585
49.43972222,0.585
49.61444444,0.585
49.78916667,0.585
49.96388889,0.585
50.13861111,0.583
50.31333333,0.581
50.48805556,0.584
50.66277778,0.583
50.8375,0.582
51.01222222,0.581
51.18694444,0.581
51.36166667,0.581
51.53638889,0.581
51.71111111,0.579
51.88583333,0.579
52.06055556,0.579
52.23527778,0.578
52.41,0.577
52.58472222,0.577
52.75944444,0.577
52.93416667,0.576
53.10888889,0.575
53.28361111,0.575
53.45833333,0.574
53.63305556,0.573
53.80777778,0.573
53.9825,0.572
54.15722222,0.571
54.33194444,0.571
54.50666667,0.57
54.68138889,0.57
54.85611111,0.57
55.03083333,0.568
55.20555556,0.567
55.38027778,0.568
55.555,0.568
55.72972222,0.566
55.90444444,0.566
56.07916667,0.564
56.25388889,0.564
56.42861111,0.563
56.60333333,0.562
56.77805556,0.561
56.95277778,0.562
57.1275,0.561
57.30222222,0.56
57.47694444,0.559
57.65166667,0.559
57.82638889,0.557
58.00111111,0.557
58.17583333,0.555
58.35055556,0.555
58.52527778,0.554
58.7,0.553
58.87472222,0.553
59.04944444,0.552
59.22416667,0.55
59.39888889,0.549
59.57361111,0.549
59.74833333,0.548
59.92305556,0.547
60.09777778,0.546
60.2725,0.545
60.44722222,0.544
60.62194444,0.543
60.79666667,0.542
60.97138889,0.541
61.14611111,0.54
61.32083333,0.538
61.49555556,0.538
61.67027778,0.537
61.845,0.536
62.01972222,0.534
62.19444444,0.533
62.36916667,0.532
62.54388889,0.531
62.71861111,0.529
62.89333333,0.53
63.06805556,0.528
63.24277778,0.525
63.4175,0.525
63.59222222,0.523
63.76694444,0.523
63.94166667,0.521
64.11638889,0.519
64.29111111,0.518
64.46583333,0.516
64.64055556,0.516
64.81527778,0.514
64.99,0.512
65.16472222,0.51
65.33944444,0.509
65.51416667,0.507
65.68888889,0.506
65.86361111,0.504
66.03833333,0.502
66.21305556,0.501
66.38777778,0.499
66.5625,0.498
66.73722222,0.497
66.91194444,0.495
67.08666667,0.493
67.26138889,0.492
67.43611111,0.489
67.61083333,0.488
67.78555556,0.486
67.96027778,0.485
68.135,0.483
68.30972222,0.482
68.48444444,0.481
68.65916667,0.48
68.83388889,0.478
69.00861111,0.477
69.18305556,0.475
69.35805556,0.473
69.53277778,0.472
69.7075,0.471
69.88222222,0.469
70.05694444,0.466
70.23166667,0.465
70.40638889,0.463
70.58111111,0.46
70.75583333,0.458
70.93055556,0.457
71.10527778,0.455
71.28,0.453
71.45472222,0.451
71.62944444,0.448
71.80416667,0.446
71.97888889,0.444
72.15361111,0.441
